text,sentiment
I'm very disappointed with their service.,negative
I'm very disappointed with their service.,negative
I love this product!,positive
This movie is amazing.,positive
The meeting is scheduled for tomorrow.,neutral
I'm very disappointed with their service.,negative
The book I'm reading is interesting.,neutral
I had a great day at the beach.,positive
The food at that restaurant was excellent.,positive
I'm very disappointed with their service.,negative
The quality of the product is very poor.,negative
The meeting is scheduled for tomorrow.,neutral
The meeting is scheduled for tomorrow.,neutral
I didn't like the ending of the movie.,negative
The meeting is scheduled for tomorrow.,neutral
The weather is beautiful today.,positive
I had a great day at the beach.,positive
I love this product!,positive
I'm thinking of going for a walk.,neutral
The food at that restaurant was excellent.,positive
The conference will be held online.,neutral
The meeting is scheduled for tomorrow.,neutral
I'm very disappointed with their service.,negative
The food at that restaurant was excellent.,positive
I love this product!,positive
The book I'm reading is interesting.,neutral
I need to buy some groceries.,neutral
I didn't like the ending of the movie.,negative
My experience with customer support was awful.,negative
I'm thinking of going for a walk.,neutral
I'm very disappointed with their service.,negative
I'm thinking of going for a walk.,neutral
I'm thinking of going for a walk.,neutral
The food at that restaurant was excellent.,positive
My experience with customer support was awful.,negative
I need to buy some groceries.,neutral
I didn't like the ending of the movie.,negative
This movie is amazing.,positive
This movie is amazing.,positive
The quality of the product is very poor.,negative
I need to buy some groceries.,neutral
The traffic was terrible this morning.,negative
I'm thinking of going for a walk.,neutral
The conference will be held online.,neutral
I love this product!,positive
The weather is beautiful today.,positive
The weather is beautiful today.,positive
The quality of the product is very poor.,negative
I love this product!,positive
My experience with customer support was awful.,negative
I'm thinking of going for a walk.,neutral
My experience with customer support was awful.,negative
I'm very disappointed with their service.,negative
I'm thinking of going for a walk.,neutral
The book I'm reading is interesting.,neutral
This movie is amazing.,positive
I love this product!,positive
This movie is amazing.,positive
The conference will be held online.,neutral
The conference will be held online.,neutral
This movie is amazing.,positive
My experience with customer support was awful.,negative
The meeting is scheduled for tomorrow.,neutral
I love this product!,positive
I love this product!,positive
I had a great day at the beach.,positive
The quality of the product is very poor.,negative
The weather is beautiful today.,positive
The food at that restaurant was excellent.,positive
I need to buy some groceries.,neutral
The meeting is scheduled for tomorrow.,neutral
I need to buy some groceries.,neutral
The food at that restaurant was excellent.,positive
The book I'm reading is interesting.,neutral
The conference will be held online.,neutral
This movie is amazing.,positive
The food at that restaurant was excellent.,positive
I need to buy some groceries.,neutral
I need to buy some groceries.,neutral
The traffic was terrible this morning.,negative
I had a great day at the beach.,positive
The conference will be held online.,neutral
The food at that restaurant was excellent.,positive
The weather is beautiful today.,positive
I need to buy some groceries.,neutral
The traffic was terrible this morning.,negative
I love this product!,positive
The conference will be held online.,neutral
I'm very disappointed with their service.,negative
The quality of the product is very poor.,negative
I'm thinking of going for a walk.,neutral
I'm very disappointed with their service.,negative
The food at that restaurant was excellent.,positive
The quality of the product is very poor.,negative
I love this product!,positive
The meeting is scheduled for tomorrow.,neutral
I didn't like the ending of the movie.,negative
The quality of the product is very poor.,negative
I need to buy some groceries.,neutral
I didn't like the ending of the movie.,negative
The conference will be held online.,neutral
The quality of the product is very poor.,negative
I love this product!,positive
I'm thinking of going for a walk.,neutral
I had a great day at the beach.,positive
I love this product!,positive
The quality of the product is very poor.,negative
I didn't like the ending of the movie.,negative
The weather is beautiful today.,positive
I had a great day at the beach.,positive
I'm very disappointed with their service.,negative
I'm very disappointed with their service.,negative
The food at that restaurant was excellent.,positive
This movie is amazing.,positive
I didn't like the ending of the movie.,negative
I had a great day at the beach.,positive
I'm very disappointed with their service.,negative
I'm thinking of going for a walk.,neutral
The book I'm reading is interesting.,neutral
I love this product!,positive
This movie is amazing.,positive
My experience with customer support was awful.,negative
My experience with customer support was awful.,negative
I'm thinking of going for a walk.,neutral
The weather is beautiful today.,positive
My experience with customer support was awful.,negative
The conference will be held online.,neutral
This movie is amazing.,positive
I had a great day at the beach.,positive
I'm thinking of going for a walk.,neutral
The meeting is scheduled for tomorrow.,neutral
I love this product!,positive
The conference will be held online.,neutral
I need to buy some groceries.,neutral
The traffic was terrible this morning.,negative
I didn't like the ending of the movie.,negative
My experience with customer support was awful.,negative
I'm very disappointed with their service.,negative
The food at that restaurant was excellent.,positive
The meeting is scheduled for tomorrow.,neutral
This movie is amazing.,positive
The meeting is scheduled for tomorrow.,neutral
I'm thinking of going for a walk.,neutral
I didn't like the ending of the movie.,negative
I'm thinking of going for a walk.,neutral
I had a great day at the beach.,positive
I had a great day at the beach.,positive
The food at that restaurant was excellent.,positive
This movie is amazing.,positive
This movie is amazing.,positive
The food at that restaurant was excellent.,positive
I didn't like the ending of the movie.,negative
I'm thinking of going for a walk.,neutral
The book I'm reading is interesting.,neutral
My experience with customer support was awful.,negative
I didn't like the ending of the movie.,negative
I need to buy some groceries.,neutral
This movie is amazing.,positive
I love this product!,positive
I'm thinking of going for a walk.,neutral
I'm very disappointed with their service.,negative
The book I'm reading is interesting.,neutral
The meeting is scheduled for tomorrow.,neutral
The meeting is scheduled for tomorrow.,neutral
The book I'm reading is interesting.,neutral
I didn't like the ending of the movie.,negative
The conference will be held online.,neutral
I love this product!,positive
This movie is amazing.,positive
The meeting is scheduled for tomorrow.,neutral
This movie is amazing.,positive
The traffic was terrible this morning.,negative
The weather is beautiful today.,positive
I'm thinking of going for a walk.,neutral
The traffic was terrible this morning.,negative
I didn't like the ending of the movie.,negative
I didn't like the ending of the movie.,negative
The traffic was terrible this morning.,negative
I'm very disappointed with their service.,negative
The food at that restaurant was excellent.,positive
I love this product!,positive
I'm thinking of going for a walk.,neutral
The quality of the product is very poor.,negative
This movie is amazing.,positive
I need to buy some groceries.,neutral
The conference will be held online.,neutral
I'm very disappointed with their service.,negative
I'm thinking of going for a walk.,neutral
My experience with customer support was awful.,negative
The quality of the product is very poor.,negative
I'm very disappointed with their service.,negative
The conference will be held online.,neutral
I had a great day at the beach.,positive
The conference will be held online.,neutral
The conference will be held online.,neutral
This movie is amazing.,positive
I love this product!,positive
I had a great day at the beach.,positive
I love this product!,positive
I need to buy some groceries.,neutral
The meeting is scheduled for tomorrow.,neutral
The traffic was terrible this morning.,negative
The quality of the product is very poor.,negative
The meeting is scheduled for tomorrow.,neutral
The quality of the product is very poor.,negative
The meeting is scheduled for tomorrow.,neutral
The conference will be held online.,neutral
The quality of the product is very poor.,negative
I need to buy some groceries.,neutral
The food at that restaurant was excellent.,positive
I need to buy some groceries.,neutral
The traffic was terrible this morning.,negative
The meeting is scheduled for tomorrow.,neutral
The traffic was terrible this morning.,negative
My experience with customer support was awful.,negative
I need to buy some groceries.,neutral
I had a great day at the beach.,positive
The quality of the product is very poor.,negative
The quality of the product is very poor.,negative
The traffic was terrible this morning.,negative
The weather is beautiful today.,positive
The conference will be held online.,neutral
I'm thinking of going for a walk.,neutral
I love this product!,positive
My experience with customer support was awful.,negative
The conference will be held online.,neutral
My experience with customer support was awful.,negative
I had a great day at the beach.,positive
The meeting is scheduled for tomorrow.,neutral
I need to buy some groceries.,neutral
I'm very disappointed with their service.,negative
I'm very disappointed with their service.,negative
The quality of the product is very poor.,negative
The quality of the product is very poor.,negative
The quality of the product is very poor.,negative
The conference will be held online.,neutral
I had a great day at the beach.,positive
The traffic was terrible this morning.,negative
The quality of the product is very poor.,negative
I'm very disappointed with their service.,negative
I love this product!,positive
I didn't like the ending of the movie.,negative
The weather is beautiful today.,positive
I need to buy some groceries.,neutral
The traffic was terrible this morning.,negative
The traffic was terrible this morning.,negative
The traffic was terrible this morning.,negative
I need to buy some groceries.,neutral
I had a great day at the beach.,positive
The conference will be held online.,neutral
The food at that restaurant was excellent.,positive
My experience with customer support was awful.,negative
The conference will be held online.,neutral
The quality of the product is very poor.,negative
The food at that restaurant was excellent.,positive
I'm very disappointed with their service.,negative
I'm thinking of going for a walk.,neutral
The food at that restaurant was excellent.,positive
I'm thinking of going for a walk.,neutral
The food at that restaurant was excellent.,positive
The food at that restaurant was excellent.,positive
My experience with customer support was awful.,negative
I love this product!,positive
The conference will be held online.,neutral
The weather is beautiful today.,positive
I need to buy some groceries.,neutral
I didn't like the ending of the movie.,negative
I'm very disappointed with their service.,negative
This movie is amazing.,positive
The weather is beautiful today.,positive
The meeting is scheduled for tomorrow.,neutral
I didn't like the ending of the movie.,negative
This movie is amazing.,positive
The conference will be held online.,neutral
The food at that restaurant was excellent.,positive
The traffic was terrible this morning.,negative
The meeting is scheduled for tomorrow.,neutral
I didn't like the ending of the movie.,negative
I'm thinking of going for a walk.,neutral
The book I'm reading is interesting.,neutral
I love this product!,positive
I need to buy some groceries.,neutral
This movie is amazing.,positive
This movie is amazing.,positive
My experience with customer support was awful.,negative
My experience with customer support was awful.,negative
The book I'm reading is interesting.,neutral
I'm very disappointed with their service.,negative
I need to buy some groceries.,neutral
I'm very disappointed with their service.,negative
The meeting is scheduled for tomorrow.,neutral
The food at that restaurant was excellent.,positive
My experience with customer support was awful.,negative
This movie is amazing.,positive
I'm very disappointed with their service.,negative
I'm very disappointed with their service.,negative
This movie is amazing.,positive
I love this product!,positive
The food at that restaurant was excellent.,positive
I had a great day at the beach.,positive
